,participant_id,device_combo,motion_combo,correct
474,FAB31369F,LeftHand,angular,0.5
475,FAB31369F,LeftHand,linear,0.0
476,FAB31369F,LeftHand,linear_angular,1.0
477,FAB31369F,RightHand,angular,0.5
478,FAB31369F,RightHand,linear,1.0
479,FAB31369F,RightHand,linear_angular,1.0
480,FAB31369F,RightHand_LeftHand,angular,0.5
481,FAB31369F,RightHand_LeftHand,linear,1.0
482,FAB31369F,RightHand_LeftHand,linear_angular,0.5
483,FAB31608M,Head,angular,1.0
484,FAB31608M,Head,linear,1.0
485,FAB31608M,Head,linear_angular,1.0
486,FAB31608M,Head_LeftHand,angular,0.5
487,FAB31608M,Head_LeftHand,linear,1.0
488,FAB31608M,Head_LeftHand,linear_angular,1.0
489,FAB31608M,Head_RightHand,angular,1.0
490,FAB31608M,Head_RightHand,linear,1.0
491,FAB31608M,Head_RightHand,linear_angular,1.0
492,FAB31608M,Head_RightHand_LeftHand,angular,0.5
493,FAB31608M,Head_RightHand_LeftHand,linear,1.0
494,FAB31608M,Head_RightHand_LeftHand,linear_angular,1.0
495,FAB31608M,LeftHand,angular,1.0
496,FAB31608M,LeftHand,linear,0.5
497,FAB31608M,LeftHand,linear_angular,1.0
498,FAB31608M,RightHand,angular,0.5
499,FAB31608M,RightHand,linear,1.0
500,FAB31608M,RightHand,linear_angular,1.0
501,FAB31608M,RightHand_LeftHand,angular,0.5
502,FAB31608M,RightHand_LeftHand,linear,1.0
503,FAB31608M,RightHand_LeftHand,linear_angular,1.0
504,FAB33054M,Head,angular,1.0
505,FAB33054M,Head,linear,1.0
506,FAB33054M,Head,linear_angular,1.0
507,FAB33054M,Head_LeftHand,angular,1.0
508,FAB33054M,Head_LeftHand,linear,1.0
509,FAB33054M,Head_LeftHand,linear_angular,1.0
510,FAB33054M,Head_RightHand,angular,1.0
511,FAB33054M,Head_RightHand,linear,1.0
512,FAB33054M,Head_RightHand,linear_angular,1.0
513,FAB33054M,Head_RightHand_LeftHand,angular,1.0
514,FAB33054M,Head_RightHand_LeftHand,linear,1.0
515,FAB33054M,Head_RightHand_LeftHand,linear_angular,1.0
516,FAB33054M,LeftHand,angular,1.0
517,FAB33054M,LeftHand,linear,1.0
518,FAB33054M,LeftHand,linear_angular,1.0
519,FAB33054M,RightHand,angular,1.0
520,FAB33054M,RightHand,linear,1.0
521,FAB33054M,RightHand,linear_angular,1.0
522,FAB33054M,RightHand_LeftHand,angular,1.0
523,FAB33054M,RightHand_LeftHand,linear,1.0
524,FAB33054M,RightHand_LeftHand,linear_angular,1.0
525,FAB34621M,Head,angular,1.0
526,FAB34621M,Head,linear,1.0
527,FAB34621M,Head,linear_angular,0.5
528,FAB34621M,Head_LeftHand,angular,0.5
529,FAB34621M,Head_LeftHand,linear,0.5
530,FAB34621M,Head_LeftHand,linear_angular,1.0
531,FAB34621M,Head_RightHand,angular,1.0
532,FAB34621M,Head_RightHand,linear,1.0
533,FAB34621M,Head_RightHand,linear_angular,1.0
534,FAB34621M,Head_RightHand_LeftHand,angular,1.0
535,FAB34621M,Head_RightHand_LeftHand,linear,0.5
536,FAB34621M,Head_RightHand_LeftHand,linear_angular,1.0
537,FAB34621M,LeftHand,angular,1.0
538,FAB34621M,LeftHand,linear,1.0
539,FAB34621M,LeftHand,linear_angular,1.0
540,FAB34621M,RightHand,angular,0.0
541,FAB34621M,RightHand,linear,1.0
542,FAB34621M,RightHand,linear_angular,1.0
543,FAB34621M,RightHand_LeftHand,angular,1.0
544,FAB34621M,RightHand_LeftHand,linear,0.5
545,FAB34621M,RightHand_LeftHand,linear_angular,1.0
546,FAB34961M,Head,angular,0.5
547,FAB34961M,Head,linear,0.0
548,FAB34961M,Head,linear_angular,1.0
549,FAB34961M,Head_LeftHand,angular,1.0
550,FAB34961M,Head_LeftHand,linear,0.5
551,FAB34961M,Head_LeftHand,linear_angular,1.0
552,FAB34961M,Head_RightHand,angular,1.0
553,FAB34961M,Head_RightHand,linear,1.0
554,FAB34961M,Head_RightHand,linear_angular,1.0
555,FAB34961M,Head_RightHand_LeftHand,angular,1.0
