,0,1,2,3,4,5,6,7,8,9,10,11,12
42,step0_RightHand_linacc_z_531_pause_1.25_durations_kurtosis,,,,,step5_RightHand_angacc_magnitude_201_pause_1.25_time_to_min_duration,,,,,,step11_LeftHand_angvel_y_201_pause_1_durations_iqr,substep36_LeftHand_angacc_magnitude_201_pause_0.5_durations_kurtosis
43,step0_RightHand_linvel_magnitude_13_pause_0.5_durations_slope,,,,,step5_RightHand_angacc_magnitude_21_pause_0.75_time_to_max_duration,,,,,,step11_LeftHand_angvel_y_531_pause_0.5_durations_iqr,substep36_LeftHand_angacc_magnitude_201_pause_0.5_durations_skewness
44,step0_RightHand_linvel_magnitude_21_pause_1.25_durations_var,,,,,step5_RightHand_angacc_magnitude_21_pause_1.25_duration_count,,,,,,step11_LeftHand_angvel_z_201_pause_0.75_durations_iqr,substep36_LeftHand_angacc_magnitude_201_pause_0.75_durations_skewness
45,step0_RightHand_linvel_magnitude_7_pause_1.25_durations_mean,,,,,step5_RightHand_angacc_magnitude_51_pause_0.5_durations_sum,,,,,,step11_LeftHand_angvel_z_201_pause_1.25_durations_iqr,substep36_LeftHand_angacc_magnitude_201_pause_1.25_durations_mean
46,step0_RightHand_linvel_x_13_pause_0.5_durations_median,,,,,step5_RightHand_angacc_magnitude_51_pause_1.25_time_to_min_duration,,,,,,step11_LeftHand_linacc_x_531_pause_1.25_durations_iqr,substep36_LeftHand_angacc_magnitude_531_pause_0.5_durations_range
47,step0_RightHand_linvel_x_21_pause_1.25_durations_var,,,,,step5_RightHand_angacc_x_201_pause_1.25_durations_coeff_of_var,,,,,,step11_LeftHand_linacc_y_21_pause_0.5_durations_coeff_of_var,substep36_LeftHand_angacc_magnitude_531_pause_1.25_durations_coeff_of_var
48,step0_RightHand_linvel_x_51_pause_1.25_durations_mean,,,,,step5_RightHand_angacc_y_201_pause_1_time_to_min_duration,,,,,,step11_RightHand_angacc_magnitude_201_pause_0.75_durations_mean,substep36_LeftHand_angacc_x_13_pause_1.25_durations_iqr
49,step0_RightHand_linvel_y_201_pause_0.75_durations_var,,,,,step5_RightHand_angvel_magnitude_7_pause_1.25_durations_kurtosis,,,,,,step11_RightHand_angacc_x_13_pause_1.25_durations_kurtosis,substep36_LeftHand_angacc_x_201_pause_0.75_durations_skewness
50,step0_RightHand_linvel_y_21_pause_0.5_durations_min,,,,,step5_RightHand_angvel_x_531_pause_1.25_time_to_min_duration,,,,,,step11_RightHand_angacc_y_13_pause_0.5_durations_iqr,substep36_LeftHand_angacc_x_21_pause_1.25_durations_iqr
51,step0_RightHand_linvel_y_21_pause_1.25_durations_median,,,,,step5_RightHand_angvel_y_531_pause_1.25_time_to_min_duration,,,,,,step11_RightHand_angacc_y_13_pause_0.5_durations_slope,substep36_LeftHand_angacc_x_21_pause_1.25_durations_var
52,step0_RightHand_linvel_y_51_pause_1.25_durations_min,,,,,step5_RightHand_linacc_x_201_pause_0.5_duration_count,,,,,,step11_RightHand_angvel_x_201_pause_1.25_durations_iqr,substep36_LeftHand_angacc_y_51_pause_0.75_durations_skewness
53,,,,,,step5_RightHand_linacc_x_51_pause_1_time_to_min_duration,,,,,,step11_RightHand_angvel_x_21_pause_1.25_durations_coeff_of_var,substep36_LeftHand_angacc_y_531_pause_1.25_durations_iqr
54,,,,,,step5_RightHand_linacc_x_531_pause_1_time_to_min_duration,,,,,,step11_RightHand_angvel_x_21_pause_1.25_durations_skewness,substep36_LeftHand_angacc_z_201_pause_0.5_durations_iqr
55,,,,,,step5_RightHand_linacc_y_201_pause_0.75_duration_count,,,,,,step11_RightHand_angvel_z_201_pause_0.75_durations_iqr,substep36_LeftHand_angacc_z_201_pause_0.5_durations_skewness
56,,,,,,step5_RightHand_linacc_y_7_pause_1.25_time_to_max_duration,,,,,,step11_RightHand_angvel_z_201_pause_1_durations_iqr,substep36_LeftHand_angvel_magnitude_201_pause_1_durations_coeff_of_var
